"Rider","2016_FP","2015_FP","2014_FP","2013_FP","2012_FP","2011_FP"
"Christopher Froome",1,1,NA,1,2,NA
"Romain Bardet",2,9,6,15,NA,NA
"Nairo Quintana",3,2,NA,NA,NA,NA
"Adam Yates",4,47,NA,NA,NA,NA
"Richie Porte",5,45,23,19,34,72
"Alejandro Valverde",6,3,NA,NA,NA,NA
"Joaquim Rodriguez",7,28,54,NA,NA,NA
"Louis Meintjes",8,NA,NA,NA,NA,NA
"Daniel Martin",9,36,NA,33,35,NA
"Roman Kreuziger",10,17,NA,5,NA,112
"Bauke Mollema",11,7,10,6,NA,70
"Sergio Henao",12,NA,NA,NA,NA,NA
"Fabio Aru",13,NA,NA,NA,NA,NA
"Sebastien Reichenbach",14,NA,85,NA,NA,NA
"Geraint Thomas",15,15,22,140,NA,31
"Pierre Rolland",16,10,11,24,8,11
"Mikel Nieve",17,NA,NA,NA,NA,NA
"Stef Clement",18,56,NA,NA,NA,NA
"Jarlinson Pantano",19,19,NA,NA,NA,NA
"Alexis Vuillermoz",20,25,NA,46,NA,NA
"Emanuel Buchmann",21,78,NA,NA,NA,NA
"Damiano Caruso",22,50,NA,NA,NA,NA
"Warren Barguil",23,14,NA,NA,NA,NA
"Haimar Zubeldia",24,59,NA,NA,NA,NA
"Ilnur Zakarin",25,NA,NA,NA,NA,NA
"Tanel Kangert",26,22,20,NA,NA,NA
"Rafal Majka",27,27,44,NA,NA,NA
"Wouter Poels",28,41,NA,28,NA,NA
"Tejay Van Garderen",29,NA,5,NA,NA,82
"Vincenzo Nibali",30,4,1,NA,3,NA
"Daniel Moreno",31,NA,NA,NA,NA,NA
"Wilco Kelderman",32,74,NA,NA,NA,NA
"Domenico Pozzovivo",33,NA,NA,NA,NA,NA
"Frank Schleck",34,NA,12,NA,NA,3
"Mikel Landa Meana",35,NA,NA,NA,NA,NA
"Steve Morabito",36,NA,NA,35,NA,49
"Diego Rosa",37,NA,NA,NA,NA,NA
"Daryl Impey",38,NA,NA,74,111,NA
"Bartosz Huzarski",39,103,68,NA,NA,NA
"Thomas De Gendt",40,NA,NA,96,NA,63
"Julian Alaphilippe",41,NA,NA,NA,NA,NA
"Serge Pauwels",42,13,NA,NA,NA,NA
"Sylvain Chavanel",43,51,34,31,NA,61
"Greg Van Avermaet",44,NA,38,NA,NA,NA
"Amael Moinard",45,NA,45,56,45,65
"Peter Stetina",46,NA,35,NA,NA,NA
"Jon Izaguirre",47,NA,NA,NA,NA,NA
"Luis Leon Sanchez",48,NA,NA,NA,NA,NA
"Rui Costa",49,NA,NA,NA,NA,NA
"Jan Bakelants",50,20,24,18,NA,NA
"Kristijan Durasek",51,71,46,NA,NA,NA
"Jakob Fuglsang",52,23,36,7,NA,50
"George Bennett",53,NA,NA,NA,NA,NA
"Jan Polanc",54,NA,NA,NA,NA,NA
"Luis Angel Mate",55,40,NA,NA,NA,NA
"Georg Preidler",56,82,NA,NA,NA,NA
"Mikael Cherel",57,18,59,NA,62,NA
"Robert Kiserlovski",58,NA,NA,NA,NA,NA
"Eduardo Sepulveda",59,NA,NA,NA,NA,NA
"Fabrice Jeandesboz",60,NA,NA,NA,54,124
"Ben Gastauer",61,NA,21,NA,NA,NA
"Alexey Lutsenko",62,NA,NA,NA,NA,NA
"Anthony Roux",63,NA,NA,NA,126,101
"Martin Elmiger",64,95,75,NA,NA,NA
"Patrick Konrad",65,NA,NA,NA,NA,NA
"Simon Geschke",66,35,NA,75,NA,NA
"Alberto Losada",67,NA,NA,NA,NA,NA
"Cyril Gautier",68,31,25,32,61,43
"Winner Anacona",69,54,NA,NA,NA,NA
"Brice Feillu",70,93,16,104,91,NA
"Tony Gallopin",71,NA,29,58,NA,79
"Ruben Plaza",72,NA,NA,NA,NA,NA
"Laurens Ten Dam",73,87,9,13,28,58
"Paolo Tiralongo",74,NA,NA,NA,NA,NA
"Jerome Coppel",75,NA,NA,63,21,14
"Michael Schar",76,53,43,NA,49,103
"Michael Valgren",77,NA,NA,NA,NA,NA
"Arthur Vichot",78,NA,NA,66,94,104
"Thomas Voeckler",79,42,42,65,26,4
"Nelson Oliveira",80,44,87,NA,NA,NA
"Romain Sicard",81,30,NA,122,NA,NA
"Tom Jelte Slagter",82,NA,56,NA,NA,NA
"Oliver Naesen",83,NA,NA,NA,NA,NA
"Chris Anker Sorensen",84,NA,NA,NA,14,37
"Daniel Teklehaimanot",85,46,NA,NA,NA,NA
"Andriy Grivko",86,61,95,NA,43,144
"Arnold Jeannesson",87,NA,30,29,NA,15
"Jan Barta",88,24,71,NA,NA,NA
"Marcus Burghardt",89,NA,154,98,58,164
"Anthony Delaplace",90,80,78,89,NA,135
"Dylan Van Baarle",91,141,NA,NA,NA,NA
