"Rider","Country","Team","2016_FP","2015_FP","2014_FP","2013_FP","2012_FP","2011_FP"
"Christopher Froome","GBr","Team Sky",1,1,NA,1,2,NA
"Romain Bardet","Fra","AG2R La Mondiale",2,9,6,15,NA,NA
"Nairo Quintana","Col","Movistar Team",3,2,NA,NA,NA,NA
"Adam Yates","GBr","OricaBikeExchange",4,47,NA,NA,NA,NA
"Richie Porte","Aus","BMC Racing Team",5,45,23,19,34,72
"Alejandro Valverde","Spa","Movistar Team",6,3,NA,NA,NA,NA
"Joaquim Rodriguez","Spa","Team Katusha",7,28,54,NA,NA,NA
"Louis Meintjes","RSA","Lampre Merida",8,NA,NA,NA,NA,NA
"Daniel Martin","Irl","Etixx QuickStep",9,36,NA,33,35,NA
"Roman Kreuziger","Cze","Tinkoff Team",10,17,NA,5,NA,112
"Bauke Mollema","Ned","TrekSegafredo",11,7,10,6,NA,70
"Sergio Henao","Col","Team Sky",12,NA,NA,NA,NA,NA
"Fabio Aru","Ita","Astana Pro Team",13,NA,NA,NA,NA,NA
"Sebastien Reichenbach","Swi","FDJ",14,NA,85,NA,NA,NA
"Geraint Thomas","GBr","Team Sky",15,15,22,140,NA,31
"Pierre Rolland","Fra","CannondaleDrapac",16,10,11,24,8,11
"Mikel Nieve","Spa","Team Sky",17,NA,NA,NA,NA,NA
"Stef Clement","Ned","IAM Cycling",18,56,NA,NA,NA,NA
"Jarlinson Pantano","Col","IAM Cycling",19,19,NA,NA,NA,NA
"Alexis Vuillermoz","Fra","AG2R La Mondiale",20,25,NA,46,NA,NA
"Emanuel Buchmann","Ger","BoraArgon 18",21,78,NA,NA,NA,NA
"Damiano Caruso","Ita","BMC Racing Team",22,50,NA,NA,NA,NA
"Warren Barguil","Fra","Team GiantAlpecin",23,14,NA,NA,NA,NA
"Haimar Zubeldia","Spa","TrekSegafredo",24,59,NA,NA,NA,NA
"Ilnur Zakarin","Rus","Team Katusha",25,NA,NA,NA,NA,NA
"Tanel Kangert","Est","Astana Pro Team",26,22,20,NA,NA,NA
"Rafal Majka","Pol","Tinkoff Team",27,27,44,NA,NA,NA
"Wouter Poels","Ned","Team Sky",28,41,NA,28,NA,NA
"Tejay Van Garderen","USA","BMC Racing Team",29,NA,5,NA,NA,82
"Vincenzo Nibali","Ita","Astana Pro Team",30,4,1,NA,3,NA
"Daniel Moreno","Spa","Movistar Team",31,NA,NA,NA,NA,NA
"Wilco Kelderman","Ned","Team LottoNlJumbo",32,74,NA,NA,NA,NA
"Domenico Pozzovivo","Ita","AG2R La Mondiale",33,NA,NA,NA,NA,NA
"Frank Schleck","Lux","TrekSegafredo",34,NA,12,NA,NA,3
"Mikel Landa Meana","Spa","Team Sky",35,NA,NA,NA,NA,NA
"Steve Morabito","Swi","FDJ",36,NA,NA,35,NA,49
"Diego Rosa","Ita","Astana Pro Team",37,NA,NA,NA,NA,NA
"Daryl Impey","RSA","OricaBikeExchange",38,NA,NA,74,111,NA
"Bartosz Huzarski","Pol","BoraArgon 18",39,103,68,NA,NA,NA
"Thomas De Gendt","Bel","Lotto Soudal",40,NA,NA,96,NA,63
"Julian Alaphilippe","Fra","Etixx QuickStep",41,NA,NA,NA,NA,NA
"Serge Pauwels","Bel","Dimension Data",42,13,NA,NA,NA,NA
"Sylvain Chavanel","Fra","Direct Energie",43,51,34,31,NA,61
"Greg Van Avermaet","Bel","BMC Racing Team",44,NA,38,NA,NA,NA
"Amael Moinard","Fra","BMC Racing Team",45,NA,45,56,45,65
"Peter Stetina","USA","TrekSegafredo",46,NA,35,NA,NA,NA
"Jon Izaguirre","Spa","Movistar Team",47,NA,NA,NA,NA,NA
"Luis Leon Sanchez","Spa","Astana Pro Team",48,NA,NA,NA,NA,NA
"Rui Costa","Por","Lampre Merida",49,NA,NA,NA,NA,NA
"Jan Bakelants","Bel","AG2R La Mondiale",50,20,24,18,NA,NA
