"#","Rider_2","Country","Team","Result","NA"
"1","Marcel Kittel","Ger","Quick-Step Floors","4:34:27",NA
"2","Dylan Groenewegen","Ned","Team LottoNl-Jumbo","",NA
"3","Edvald Boasson Hagen","Nor","Dimension Data","",NA
"4","Michael Matthews","Aus","Team Sunweb","",NA
"5","Daniel Mclay","GBr","Team Fortuneo - Oscaro","",NA
"6","Davide Cimolai","Ita","FDJ","",NA
"7","André Greipel","Ger","Lotto Soudal","",NA
"8","Nacer Bouhanni","Fra","Cofidis, Solutions Credits","",NA
"9","Ben Swift","GBr","UAE Team Emirates","",NA
"10","Danilo Wyss","Swi","BMC Racing Team","",NA
"11","Pieter Vanspeybrouck","Bel","Wanty - Groupe Gobert","",NA
"12","Alexander Kristoff","Nor","Katusha-Alpecin","",NA
"13","Florian Vachon","Fra","Team Fortuneo - Oscaro","",NA
"14","Dion Smith","NZl","Wanty - Groupe Gobert","",NA
"15","Damiano Caruso","Ita","BMC Racing Team","",NA
"16","Rüdiger Selig","Ger","Bora-Hansgrohe","",NA
"17","Andrea Pasqualon","Ita","Wanty - Groupe Gobert","",NA
"18","Thomas Boudat","Fra","Direct Energie","",NA
"19","Sylvain Chavanel","Fra","Direct Energie","",NA
"20","Guillaume Van Keirsbulck","Bel","Wanty - Groupe Gobert","",NA
"21","Fabio Sabatini","Ita","Quick-Step Floors","",NA
"22","Taylor Phinney","USA","Cannondale-Drapac","",NA
"23","Yoann Offredo","Fra","Wanty - Groupe Gobert","",NA
"24","Christophe Laporte","Fra","Cofidis, Solutions Credits","",NA
"25","Michal Kwiatkowski","Pol","Team Sky","",NA
"26","Koen De Kort","Ned","Trek-Segafredo","",NA
"27","Christopher Froome","GBr","Team Sky","",NA
"28","Esteban Chaves","Col","Orica-Scott","",NA
"29","Jens Keukeleire","Bel","Orica-Scott","",NA
"30","Daniel Martin","Irl","Quick-Step Floors","",NA
"31","Rick Zabel","Ger","Katusha-Alpecin","",NA
"32","Jakob Fuglsang","Den","Astana Pro Team","",NA
"33","Simon Yates","GBr","Orica-Scott","",NA
"34","Fabio Aru","Ita","Astana Pro Team","",NA
"35","Lilian Calmejane","Fra","Direct Energie","",NA
"36","Daniele Bennati","Ita","Movistar Team","",NA
"37","Emanuel Buchmann","Ger","Bora-Hansgrohe","",NA
"38","Mathew Hayman","Aus","Orica-Scott","",NA
"39","George Bennett","NZl","Team LottoNl-Jumbo","",NA
"40","Matteo Bono","Ita","UAE Team Emirates","",NA
"41","Cyril Gautier","Fra","AG2R La Mondiale","",NA
"42","Jay McCarthy","Aus","Bora-Hansgrohe","",NA
"43","Sonny Colbrelli","Ita","Bahrain-Merida","",NA
"44","Oliver Naesen","Bel","AG2R La Mondiale","",NA
"45","Nairo Quintana","Col","Movistar Team","",NA
"46","Timo Roosen","Ned","Team LottoNl-Jumbo","",NA
"47","Romain Bardet","Fra","AG2R La Mondiale","",NA
"48","Tony Gallopin","Fra","Lotto Soudal","",NA
"49","Rigoberto Uran","Col","Cannondale-Drapac","",NA
"50","Louis Meintjes","RSA","UAE Team Emirates","",NA
"51","Pierre Latour","Fra","AG2R La Mondiale","",NA
"52","Sergio Henao","Col","Team Sky","",NA
"53","Brice Feillu","Fra","Team Fortuneo - Oscaro","",NA
"54","Maciej Bodnar","Pol","Bora-Hansgrohe","",NA
"55","Vasil Kiryienka","Blr","Team Sky","",NA
"56","Roman Kreuziger","Cze","Orica-Scott","",NA
"57","Mikel Landa","Spa","Team Sky","",NA
"58","Mikel Nieve","Spa","Team Sky","",NA
"59","Carlos Betancur","Col","Movistar Team","",NA
"60","Andrey Zeits","Kaz","Astana Pro Team","",NA
"61","Yukiya Arashiro","Jpn","Bahrain-Merida","",NA
"62","Jasha Sütterlin","Ger","Movistar Team","",NA
"63","Janez Brajkovic","Slo","Bahrain-Merida","",NA
"64","Warren Barguil","Fra","Team Sunweb","",NA
"65","Marco Minnaard","Ned","Wanty - Groupe Gobert","",NA
"66","Guillaume Martin","Fra","Wanty - Groupe Gobert","",NA
"67","Jan Bakelants","Bel","AG2R La Mondiale","",NA
"68","Thomas Degand","Bel","Wanty - Groupe Gobert","",NA
"69","Jurgen Roelandts","Bel","Lotto Soudal","",NA
"70","Luis Angel Mate","Spa","Cofidis, Solutions Credits","",NA
"71","Alberto Contador","Spa","Trek-Segafredo","",NA
"72","Fabio Felline","Ita","Trek-Segafredo","",NA
"73","Diego Ulissi","Ita","UAE Team Emirates","",NA
"74","Angelo Tulik","Fra","Direct Energie","",NA
"75","Pawel Poljanski","Pol","Bora-Hansgrohe","",NA
"76","Reinardt Janse Van Rensburg","RSA","Dimension Data","",NA
"77","Jarlinson Pantano","Col","Trek-Segafredo","",NA
"78","Ben Gastauer","Lux","AG2R La Mondiale","",NA
"79","Nils Politt","Ger","Katusha-Alpecin","",NA
"80","Michael Valgren Andersen","Den","Astana Pro Team","",NA
"81","Bauke Mollema","Ned","Trek-Segafredo","",NA
"82","John Degenkolb","Ger","Trek-Segafredo","",NA
"83","Tiesj Benoot","Bel","Lotto Soudal","",NA
"84","Markel Irizar","Spa","Trek-Segafredo","",NA
"85","Pierre Luc Perichon","Fra","Team Fortuneo - Oscaro","",NA
"86","Mathias Frank","Swi","AG2R La Mondiale","",NA
"87","Haimar Zubeldia","Spa","Trek-Segafredo","",NA
"88","Kristijan Durasek","Cro","UAE Team Emirates","",NA
"89","Dmitriy Gruzdev","Kaz","Astana Pro Team","",NA
"90","Reto Hollenstein","Swi","Katusha-Alpecin","",NA
"91","Michael Albasini","Swi","Orica-Scott","",NA
"92","Nicolas Roche","Irl","BMC Racing Team","",NA
