"Position","Rider_1","Country"
"1","Christopher Froome ","GBr"
"2","Sergio Luis Henao Montoya ","Col"
"3","Vasil Kiryienka ","Blr"
"4","Christian Knees ","Ger"
"5","Michał Kwiatkowski ","Pol"
"6","Mikel Landa Meana ","Spa"
"7","Mikel Nieve Ituralde ","Spa"
"8","Luke Rowe ","GBr"
"9","Geraint Thomas ","GBr"
"11","Romain Bardet ","Fra"
"12","Jan Bakelants ","Bel"
"13","Axel Domont ","Fra"
"14","Mathias Frank ","Swi"
"15","Ben Gastauer ","Lux"
"16","Cyril Gautier ","Fra"
"17","Pierre Latour ","Fra"
"18","Oliver Naesen ","Bel"
"19","Alexis Vuillermoz ","Fra"
"21","Nairo Quintana ","Col"
"22","Andrey Amador Bikkazakova ","Crc"
"23","Daniele Bennati ","Ita"
"24","Carlos Alberto Betancur Gomez ","Col"
"25","Jonathan Castroviejo Nicolas ","Spa"
"26","Imanol Erviti Ollo ","Spa"
"27","Jesus Herrada Lopez ","Spa"
"28","Jasha Sütterlin ","Ger"
"29","Alejandro Valverde Belmonte ","Spa"
"31","Alberto Contador Velasco ","Spa"
"32","Koen de Kort ","Ned"
"33","John Degenkolb ","Ger"
"34","Fabio Felline ","Ita"
"35","Michael Gogl ","Aut"
"36","Markel Irizar Aranburu ","Spa"
"37","Bauke Mollema ","Ned"
"38","Jarlinson Pantano ","Col"
"39","Haimar Zubeldia Aguirre ","Spa"
"41","Richie Porte ","Aus"
"42","Damiano Caruso ","Ita"
"43","Alessandro De Marchi ","Ita"
"44","Stefan Kung ","Swi"
"45","Amaël Moinard ","Fra"
"46","Nicolas Roche ","Irl"
"47","Michael Schär ","Swi"
"48","Greg Van Avermaet ","Bel"
"49","Danilo Wyss ","Swi"
"51","Fabio Aru ","Ita"
"52","Dario Cataldo ","Ita"
"53","Jakob Fuglsang ","Den"
"54","Andriy Grivko ","Ukr"
"55","Dmitriy Gruzdev ","Kaz"
"56","Bakhtiyar Kozhatayev ","Kaz"
