"Rider","Country","Team","FP_2016","GC_Mean","GC_Complete","best_GC","worst_GC","Team_Mean","Team_Highest","Country_Mean","Country_Highest","Aus","Aut","Bel","Col","Cro","Cze","Den","Eri","Est","Fra","GBr","Ger","Irl","Ita","Jpn","Ltu","Lux","Ned","Nor","NZl","Pol","Por","RSA","Slo","Spa","Svk","Swi","Ukr","USA"
"Christopher Froome","GBr","Team Sky",1,1.33333333333333,3,1,2,69.2666666666667,1,74.4722222222222,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romain Bardet","Fra","AG2R La Mondiale",2,10,3,6,15,42.4857142857143,6,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nairo Quintana","Col","Movistar Team",3,2,1,2,2,44.0333333333333,2,25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Yates","GBr","OricaBikeExchange",4,47,1,47,47,101.533333333333,47,74.4722222222222,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Richie Porte","Aus","BMC Racing Team",5,38.6,5,19,72,63.23125,5,99.9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alejandro Valverde","Spa","Movistar Team",6,3,1,3,3,44.0333333333333,2,54.4444444444444,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Joaquim Rodriguez","Spa","Team Katusha",7,41,2,28,54,109,28,54.4444444444444,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Daniel Martin","Irl","Etixx QuickStep",9,34.6666666666667,3,33,36,110.791666666667,33,34.6666666666667,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roman Kreuziger","Cze","Tinkoff Team",10,44.6666666666667,3,5,112,74.9833333333333,5,46.0833333333333,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bauke Mollema","Ned","TrekSegafredo",11,23.25,4,6,70,51.9583333333333,3,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sebastien Reichenbach","Swi","FDJ",14,85,1,85,85,95.5833333333333,35,75.9523809523809,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Geraint Thomas","GBr","Team Sky",15,52,4,15,140,69.2666666666667,1,74.4722222222222,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pierre Rolland","Fra","CannondaleDrapac",16,12.8,5,8,24,95.3916666666667,8,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stef Clement","Ned","IAM Cycling",18,56,1,56,56,52.5333333333333,14,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Jarlinson Pantano","Col","IAM Cycling",19,19,1,19,19,52.5333333333333,14,25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexis Vuillermoz","Fra","AG2R La Mondiale",20,35.5,2,25,46,42.4857142857143,6,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Emanuel Buchmann","Ger","BoraArgon 18",21,78,1,78,78,85.4,24,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damiano Caruso","Ita","BMC Racing Team",22,50,1,50,50,63.23125,5,98.1904761904762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warren Barguil","Fra","Team GiantAlpecin",23,14,1,14,14,82.5714285714286,9,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haimar Zubeldia","Spa","TrekSegafredo",24,59,1,59,59,51.9583333333333,3,54.4444444444444,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tanel Kangert","Est","Astana Pro Team",26,21,2,20,22,34.6041666666667,1,21,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rafal Majka","Pol","Tinkoff Team",27,35.5,2,27,44,74.9833333333333,5,81.3333333333333,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Wouter Poels","Ned","Team Sky",28,34.5,2,28,41,69.2666666666667,1,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tejay Van Garderen","USA","BMC Racing Team",29,43.5,2,5,82,63.23125,5,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Vincenzo Nibali","Ita","Astana Pro Team",30,2.66666666666667,3,1,4,34.6041666666667,1,98.1904761904762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wilco Kelderman","Ned","Team LottoNlJumbo",32,74,1,74,74,96.2916666666667,74,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Frank Schleck","Lux","TrekSegafredo",34,7.5,2,3,12,51.9583333333333,3,14.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Steve Morabito","Swi","FDJ",36,42,2,35,49,95.5833333333333,35,75.9523809523809,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Daryl Impey","RSA","OricaBikeExchange",38,92.5,2,74,111,101.533333333333,47,91.75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bartosz Huzarski","Pol","BoraArgon 18",39,85.5,2,68,103,85.4,24,81.3333333333333,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Thomas De Gendt","Bel","Lotto Soudal",40,79.5,2,63,96,106.229166666667,29,76.6666666666667,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serge Pauwels","Bel","Dimension Data",42,13,1,13,13,74.0555555555556,13,76.6666666666667,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvain Chavanel","Fra","Direct Energie",43,44.25,4,31,61,92.55,4,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greg Van Avermaet","Bel","BMC Racing Team",44,38,1,38,38,63.23125,5,76.6666666666667,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amael Moinard","Fra","BMC Racing Team",45,52.75,4,45,65,63.23125,5,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peter Stetina","USA","TrekSegafredo",46,35,1,35,35,51.9583333333333,3,77,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jan Bakelants","Bel","AG2R La Mondiale",50,20.6666666666667,3,18,24,42.4857142857143,6,76.6666666666667,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristijan Durasek","Cro","Lampre Merida",51,58.5,2,46,71,95.9583333333333,46,58.5,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jakob Fuglsang","Den","Astana Pro Team",52,29,4,7,50,34.6041666666667,1,50.8333333333333,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luis Angel Mate","Spa","Cofidis Solutions Credits",55,40,1,40,40,97.3809523809524,15,54.4444444444444,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Georg Preidler","Aut","Team GiantAlpecin",56,82,1,82,82,82.5714285714286,9,115.444444444444,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mikael Cherel","Fra","AG2R La Mondiale",57,46.3333333333333,3,18,62,42.4857142857143,6,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fabrice Jeandesboz","Fra","Direct Energie",60,89,2,54,124,92.55,4,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Gastauer","Lux","AG2R La Mondiale",61,21,1,21,21,42.4857142857143,6,14.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Roux","Fra","FDJ",63,113.5,2,101,126,95.5833333333333,35,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Martin Elmiger","Swi","IAM Cycling",64,85,2,75,95,52.5333333333333,14,75.9523809523809,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Simon Geschke","Ger","Team GiantAlpecin",66,55,2,35,75,82.5714285714286,9,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyril Gautier","Fra","AG2R La Mondiale",68,38.4,5,25,61,42.4857142857143,6,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Winner Anacona","Col","Movistar Team",69,54,1,54,54,44.0333333333333,2,25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brice Feillu","Fra","Fortuneo Vital Concept",70,76,4,16,104,82.1666666666667,14,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Gallopin","Fra","Lotto Soudal",71,55.3333333333333,3,29,79,106.229166666667,29,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laurens Ten Dam","Ned","Team GiantAlpecin",73,39,5,9,87,82.5714285714286,9,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Jerome Coppel","Fra","IAM Cycling",75,32.6666666666667,3,14,63,52.5333333333333,14,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
