"Pos","Rider","Country","Team","Result","result_type","result_class","result_seconds","duration","stage_date","race_id","stage_id"
"1","Tomas Medek","Cze",NA,0,"time","Results","2450S",2450,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"1","Tomas Medek","Cze",NA,0,"time","Results","2450S",2450,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"2","Maxim Panis","Bel",NA,0,"time","Results","52S",2502,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"2","Maxim Panis","Bel",NA,0,"time","Results","52S",2502,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"3","Jakub Skala","Cze",NA,0,"time","Results","96S",2546,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"3","Jakub Skala","Cze",NA,0,"time","Results","96S",2546,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"4","Massimo Morabito","Ita",NA,0,"time","Results","185S",2635,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"4","Massimo Morabito","Ita",NA,0,"time","Results","185S",2635,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"5","Petr Hampl","Cze",NA,0,"time","Results","309S",2759,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"5","Petr Hampl","Cze",NA,0,"time","Results","309S",2759,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"6","Jimmy Reinert","Lux",NA,0,"time","Results","410S",2860,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"6","Jimmy Reinert","Lux",NA,0,"time","Results","410S",2860,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"7","Pol Flesch","Lux",NA,0,"time","Results","0S",2860,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"7","Pol Flesch","Lux",NA,0,"time","Results","0S",2860,"2010-01-01","race_2010_0003","race_2010_0003_s01"
"1","Marianne Vos","Ned",NA,0,"time","Results","2590S",2590,"2010-01-01","race_2010_0003","race_2010_0003_s02"
"1","Marianne Vos","Ned",NA,0,"time","Results","2590S",2590,"2010-01-01","race_2010_0003","race_2010_0003_s02"
"2","Pavla Havlikova","Cze",NA,0,"time","Results","145S",2735,"2010-01-01","race_2010_0003","race_2010_0003_s02"
"2","Pavla Havlikova","Cze",NA,0,"time","Results","145S",2735,"2010-01-01","race_2010_0003","race_2010_0003_s02"
"3","Lucie ChainelLefevre","Fra",NA,0,"time","Results","168S",2758,"2010-01-01","race_2010_0003","race_2010_0003_s02"
"3","Lucie ChainelLefevre","Fra",NA,0,"time","Results","168S",2758,"2010-01-01","race_2010_0003","race_2010_0003_s02"
"4","Nikki Harris","GBr",NA,0,"time","Results","178S",2768,"2010-01-01","race_2010_0003","race_2010_0003_s02"
"4","Nikki Harris","GBr",NA,0,"time","Results","178S",2768,"2010-01-01","race_2010_0003","race_2010_0003_s02"
"5","Joyce Vanderbeken","Bel",NA,0,"time","Results","388S",2978,"2010-01-01","race_2010_0003","race_2010_0003_s02"
