"Rider","2010","2011","2012","2013","2014","2015","2016"
"Adam Hansen",151.271111111111,161.565277777778,201.697777777778,187.403888888889,170.351111111111,154.3175,158.378333333333
"Adam Yates",21.3058333333333,40.7066666666667,5.00611111111111,0,192.819722222222,93.0338888888889,113.138888888889
"Adrien Petit",48.5136111111111,111.008333333333,124.198611111111,94.8841666666667,144.620833333333,173.205277777778,158.543888888889
"Alberto Losada",61.2141666666667,32.2666666666667,6.37555555555556,24.0152777777778,16.3805555555556,NA,83.9983333333333
"Albert Timmer",149.874722222222,164.149444444444,131.367222222222,221.973888888889,214.524444444444,131.047222222222,119.942777777778
"Alejandro Valverde",134.106388888889,NA,71.4608333333333,8.22055555555556,8.59861111111111,125.833055555556,133.206666666667
"Alexander Kristoff",124.845,185.299166666667,202.911111111111,124.76,196.083611111111,209.636111111111,155.315277777778
"Alexey Lutsenko",38.8833333333333,58.3747222222222,55.8975,115.596388888889,73.4455555555556,115.565555555556,130.575277777778
"Alex Howes",52.2583333333333,90.3277777777778,150.810277777778,99.4005555555556,136.479444444444,152.711388888889,170.562777777778
"Alexis Gougeard",NA,4.91055555555556,10.2380555555556,9.895,97.705,86.4741666666667,95.6908333333333
"Alexis Vuillermoz",13.6477777777778,12.5413888888889,1.62722222222222,68.5366666666667,213.977777777778,155.793333333333,123.578055555556
"Amael Moinard",190.379166666667,228.463611111111,147.599444444444,139.389166666667,167.458055555556,204.879444444444,164.988888888889
"Andreas Schillinger",140.6,101.765,203.190833333333,147.331111111111,150.718888888889,121.716388888889,102.102777777778
"Andre Greipel",209.848055555556,164.396666666667,191.067777777778,147.248055555556,163.156388888889,191.522777777778,157.513333333333
"Andriy Grivko",208.5375,165.165277777778,91.6602777777778,107.570833333333,106.483611111111,151.955,169.208333333333
"Angel Vicioso",59.3175,26.4422222222222,3.97333333333333,24.2158333333333,NA,115.902222222222,105.722222222222
"Anthony Delaplace",132.093055555556,135.607777777778,150.688888888889,134.380833333333,130.523333333333,104.937222222222,131.100833333333
"Anthony Roux",153.905,139.695,125.764444444444,146.589166666667,172.744722222222,214.6575,163.181388888889
"Antoine Duchesne",15.3616666666667,69.6847222222222,37.3383333333333,54.2894444444444,77.5063888888889,146.6825,139.230555555556
"Armindo Fonseca",54.7241666666667,107.278055555556,159.751111111111,144.062222222222,137.029444444444,203.674722222222,90.3794444444444
"Arnold Jeannesson",155.158888888889,160.652777777778,120.273333333333,142.0625,166.463611111111,106.339166666667,157.855555555556
"Arthur Vichot",123.749166666667,133.433055555556,136.160833333333,162.911944444444,120.150555555556,130.319722222222,144.726111111111
"Bartosz huzarski",4.19333333333333,NA,NA,NA,NA,NA,NA
"Bartosz Huzarski",104.136666666667,116.981944444444,166.123055555556,133.385555555556,138.038333333333,116.831111111111,76.0911111111111
"Bauke Mollema",237.719722222222,155.836944444444,125.564166666667,130.259722222222,139.627777777778,157.600555555556,185.823333333333
"Ben Gastauer",132.118333333333,207.89,191.949166666667,195.234166666667,144.166388888889,181.620833333333,172.446388888889
"Bernhard Eisel",200.428611111111,158.726111111111,184.360555555556,91.6811111111111,183.078055555556,193.273333333333,131.974166666667
"Bertjan Lindeman",35.2172222222222,27.26,42.2813888888889,82.9436111111111,13.9583333333333,153.776666666667,149.509166666667
"BertJan Lindeman",51.5688888888889,15.6680555555556,51.2202777777778,41.3691666666667,57.1716666666667,23.1411111111111,4.58944444444444
"Brent Bookwalter",168.983333333333,146.1225,154.838055555556,134.070833333333,131.773055555556,190.959444444444,153.499722222222
"Brice Feillu",194.550833333333,151.1225,164.031944444444,138.251111111111,138.941111111111,118.729166666667,89.3269444444445
"Bryan Coquard",20.2291666666667,11.5327777777778,12.6216666666667,107.743611111111,170.500277777778,189.884722222222,117.234166666667
