"rider_name","rider_link","team_name","dob","nationality","uci_id"
"Yohann Gene","/riders/yohann-gne","Bouygues Telecom","25/06/1981","France","FRA19810625"
"Thomas Voeckler","/riders/thomas-voeckler","Bouygues Telecom","22/06/1979","France","FRA19790622"
"Sylvain Chavanel","/riders/sylvain-chavanel","Cofidis - Le Credit par Telephone","30/06/1979","France","FRA19790630"
"Amael Moinard","/riders/amael-moinard-1","Cofidis - Le Credit par Telephone","02/02/1982","France","FRA19820202"
"Cyril Lemoine","/riders/cyril-lemoine","Credit Agricole","03/03/1983","France","FRA19830303"
"Andriy Grivko","/riders/andriy-grivko","Domina Vacanze","07/08/1983","Ukraine","UKR19830807"
"Vincenzo Nibali","/riders/vincenzo-nibali","Fassa Bortolo","14/11/1984","Italy","ITA19841114"
"Matteo Tosatto","/riders/matteo-tosatto","Fassa Bortolo","14/05/1974","Italy","ITA19740514"
"Bernhard Eisel","/riders/bernhard-eisel","Francaise des Jeux","17/02/1981","Austria","AUT19810217"
"Jeremy Roy","/riders/jeremy-roy","Francaise des Jeux","22/06/1983","France","FRA19830622"
"Markel Irizar Aranburu","/riders/markel-irizar-aranburu","Fundacion Ciclista Euskadi","05/02/1980","Spain","ESP19800205"
"Haimar Zubeldia Aguirre","/riders/haimar-zubeldia-aguirre","Fundacion Ciclista Euskadi","01/04/1977","Spain","ESP19770401"
"Imanol Erviti Ollo","/riders/imanol-erviti-ollo","Illes Balears - Caisse d'Epargne","15/11/1983","Spain","ESP19831115"
"Alejandro Valverde Belmonte","/riders/alejandro-valverde-belmonte","Illes Balears - Caisse d'Epargne","25/04/1980","Spain","ESP19800425"
"Luis Leon Sanchez","/riders/luis-len-snchez","Liberty Seguros - Wurth Team","24/11/1983","Spain","ESP19831124"
"Angel Vicioso Arcos","/riders/angel-vicioso-arcos","Liberty Seguros - Wurth Team","13/04/1977","Spain","ESP19770413"
"Michael Albasini","/riders/michael-albasini","Liquigas - Bianchi","20/12/1980","Switzerland","SUI19801220"
"Martin Elmiger","/riders/martin-elmiger","Phonak Hearing Systems","23/09/1978","Switzerland","SUI19780923"
"Gregory Rast","/riders/grgory-rast","Phonak Hearing Systems","17/01/1980","Switzerland","SUI19800117"
"Christopher Horner","/riders/christopher-horner","Saunier Duval - Prodir","23/10/1971","United States","USA19711023"
"Joaquim Rodriguez Oliver","/riders/joaquim-rodrguez-oliver","Saunier Duval - Prodir","12/05/1979","Spain","ESP19790512"
"Lars Ytting Bak","/riders/lars-ytting-bak","Team CSC","16/01/1980","Denmark","DEN19800116"
"Frank Schleck","/riders/frank-schleck","Team CSC","15/04/1980","Luxembourg","LUX19800415"
"Marcus Burghardt","/riders/marcus-burghardt","T-Mobile Team","30/06/1983","Germany","GER19830630"
"Samuel Dumoulin","/riders/samuel-dumoulin","AG2r Prevoyance","20/08/1980","France","FRA19800820"
"Stef Clement","/riders/stef-clement","Bouygues Telecom","24/09/1982","Netherlands","NED19820924"
"Christopher Sutton","/riders/christopher-sutton","Cofidis - Le Credit par Telephone","10/09/1984","Australia","AUS19840910"
"William Bonnet","/riders/william-bonnet","Credit Agricole","25/06/1982","France","FRA19820625"
"Matteo Bono","/riders/matteo-bono","Lampre - Fondital","11/11/1983","Italy","ITA19831111"
"Paolo Tiralongo","/riders/paolo-tiralongo","Lampre - Fondital","08/07/1977","Italy","ITA19770708"
"Roman Kreuziger","/riders/roman-kreuziger","Liquigas","06/05/1986","Czech Republic","CZE19860506"
"Steve Morabito","/riders/steve-morabito","Phonak Hearing Systems","30/01/1983","Switzerland","SUI19830130"
"Michael Schar","/riders/michael-schar","Phonak Hearing Systems","29/09/1986","Switzerland","SUI19860929"
"Mathew Hayman","/riders/mathew-hayman","Rabobank","20/04/1978","Australia","AUS19780420"
"Alberto Losada Alguacil","/riders/alberto-losada-alguacil","Caisse d'Epargne","28/02/1982","Spain","ESP19820228"
"Ruben Plaza Molina","/riders/ruben-plaza-molina","Caisse d'Epargne","29/02/1980","Spain","ESP19800229"
"Pierre Rolland","/riders/pierre-rolland","Credit Agricole","10/10/1986","France","FRA19861010"
"Stephen Cummings","/riders/stephen-cummings","Discovery Channel Pro Cycling Team","19/03/1981","Great Britain","GBR19810319"
"Oscar Gatto","/riders/oscar-gatto","Gerolsteiner","01/01/1985","Italy","ITA19850101"
"Greg Van Avermaet","/riders/greg-van-avermaet","Predictor - Lotto","17/05/1985","Belgium","BEL19850517"
"Maarten Wynants","/riders/maarten-wynants","Predictor - Lotto","13/05/1982","Belgium","BEL19820513"
"Bauke Mollema","/riders/bauke-mollema","Rabobank","26/11/1986","Netherlands","NED19861126"
"Chris Anker Sorensen","/riders/chris-anker-srensen","Team CSC","05/09/1984","Denmark","DEN19840905"
"Tanel Kangert","/riders/tanel-kangert","AG2R La Mondiale","11/03/1987","Estonia","EST19870311"
"Daniel Moreno Fernandez","/riders/daniel-moreno-fernandez","Caisse d'Epargne","05/09/1981","Spain","ESP19810905"
"Jerome Coppel","/riders/jrme-coppel","Francaise des Jeux","06/08/1986","France","FRA19860806"
"Anthony Roux","/riders/anthony-roux","Francaise des Jeux","18/04/1987","France","FRA19870418"
"Maciej Bodnar","/riders/maciej-bodnar","Liquigas","07/03/1985","Poland","POL19850307"
"Jacopo Guarnieri","/riders/jacopo-guarnieri","Liquigas","14/08/1987","Italy","ITA19870814"
"Paul Martens","/riders/paul-martens","Rabobank","26/10/1983","Germany","GER19831026"
"Ramon Sinkeldam","/riders/ramon-sinkeldam","Rabobank","09/02/1989","Netherlands","NED19890209"
"Laurens ten Dam","/riders/laurens-ten-dam","Rabobank","13/11/1980","Netherlands","NED19801113"
"Tejay van Garderen","/riders/tejay-van-garderen","Rabobank","12/08/1988","United States","USA19880812"
"Jurgen Roelandts","/riders/jurgen-roelandts","Silence - Lotto","02/07/1985","Belgium","BEL19850702"
"Edvald Boasson Hagen","/riders/edvald-boasson-hagen","TEAM COLUMBIA","17/05/1987","Norway","NOR19870517"
"Andre Greipel","/riders/andre-greipel","TEAM COLUMBIA","16/07/1982","Germany","GER19820716"
"Adam Hansen","/riders/adam-hansen","TEAM COLUMBIA","11/05/1981","Australia","AUS19810511"
"Marcel Sieberg","/riders/marcel-sieberg","TEAM COLUMBIA","30/04/1982","Germany","GER19820430"
"Yukiya Arashiro","/riders/yukiya-arashiro","BBOX Bouygues Telecom","22/09/1984","Japan","JPN19840922"
"Cyril Gautier","/riders/cyril-gautier","BBOX Bouygues Telecom","26/09/1987","France","FRA19870926"
"Rui Alberto Faria da Costa","/riders/rui-alberto-faria-da-costa","Caisse d'Epargne","05/10/1986","Portugal","POR19861005"
"Arnold Jeannesson","/riders/arnold-jeannesson","Caisse d'Epargne","15/01/1986","France","FRA19860115"
"Vasil Kiryienka","/riders/vasil-kiryienka","Caisse d'Epargne","28/06/1981","Belarus","BLR19810628"
"Mikel Nieve Ituralde","/riders/mikel-nieve-ituralde","Euskaltel - Euskadi","26/05/1984","Spain","ESP19840526"
"Christopher Jones","/riders/christopher-jones","Francaise des Jeux","06/08/1979","United States","USA19790806"
"Robert Kiserlovski","/riders/robert-kiserlovski","Fuji-Servetto","09/08/1986","Croatia","CRO19860809"
"Daniel Martin","/riders/daniel-martin","Garmin - Slipstream","20/08/1986","Ireland","IRL19860820"
"Fabio Sabatini","/riders/fabio-sabatini","Liquigas","18/02/1985","Italy","ITA19850218"
"Paul Voss","/riders/paul-voss","Team Milram","26/03/1986","Germany","GER19860326"
"Jakob Fuglsang","/riders/jakob-fuglsang","Team Saxo Bank","22/03/1985","Denmark","DEN19850322"
"Ben Gastauer","/riders/ben-gastauer","AG2R La Mondiale","14/11/1987","Luxembourg","LUX19871114"
"Romain Sicard","/riders/romain-sicard","Euskaltel - Euskadi","01/01/1988","France","FRA19880101"
"Arthur Vichot","/riders/arthur-vichot","Francaise des Jeux","26/11/1988","France","FRA19881126"
"Peter Stetina","/riders/peter-stetina","Garmin - Transitions","08/08/1987","United States","USA19870808"
"Kristijan Koren","/riders/kristijan-koren","Liquigas-Doimo","25/11/1986","Slovenia","SLO19861125"
"Peter Sagan","/riders/peter-sagan","Liquigas-Doimo","26/01/1990","Slovakia","SVK19900126"
